
CMD: yum check-update 

Loaded plugins: langpacks

rpm-libs.x86_64                 4.11.3-48.el7_9                updates-openlogic
rpm-python.x86_64               4.11.3-48.el7_9                updates-openlogic
rsync.x86_64                    3.1.2-12.el7_9                 updates-openlogic
rsyslog.x86_64                  8.24.0-57.el7_9.3              updates-openlogic
samba-client-libs.x86_64        4.10.16-25.el7_9               updates-openlogic
samba-common.noarch             4.10.16-25.el7_9               updates-openlogic
samba-common-libs.x86_64        4.10.16-25.el7_9               updates-openlogic
sed.x86_64                      4.2.2-7.el7                    base-openlogic   
selinux-policy.noarch           3.13.1-268.el7_9.2             updates-openlogic
selinux-policy-targeted.noarch  3.13.1-268.el7_9.2             updates-openlogic
setup.noarch                    2.8.71-11.el7                  base-openlogic   
sg3_utils.x86_64                1:1.37-19.el7                  base-openlogic   
sg3_utils-libs.x86_64           1:1.37-19.el7                  base-openlogic   
shared-mime-info.x86_64         1.8-5.el7                      base-openlogic   
shim-x64.x86_64                 15-8.el7                       base-openlogic   
smartmontools.x86_64            1:7.0-2.el7                    base-openlogic   
sos.noarch                      3.9-5.el7.centos.12            updates-openlogic
sssd-client.x86_64              1.16.5-10.el7_9.16             updates-openlogic
strace.x86_64                   4.24-7.el7_9                   updates-openlogic
sudo.x86_64                     1.8.23-10.el7_9.3              updates-openlogic
sysstat.x86_64                  10.1.5-20.el7_9                updates-openlogic
systemd.x86_64                  219-78.el7_9.9                 updates-openlogic
systemd-libs.x86_64             219-78.el7_9.9                 updates-openlogic
systemd-python.x86_64           219-78.el7_9.9                 updates-openlogic
systemd-sysv.x86_64             219-78.el7_9.9                 updates-openlogic
systemtap-runtime.x86_64        4.0-13.el7                     base-openlogic   
tcsh.x86_64                     6.18.01-17.el7_9.1             updates-openlogic
teamd.x86_64                    1.29-3.el7                     base-openlogic   
tuned.noarch                    2.11.0-12.el7_9                updates-openlogic
tzdata.noarch                   2024a-1.el7                    updates-openlogic
unzip.x86_64                    6.0-24.el7_9                   updates-openlogic
util-linux.x86_64               2.23.2-65.el7_9.1              updates-openlogic
vdo.x86_64                      6.1.3.23-5.el7                 base-openlogic   
vim-common.x86_64               2:7.4.629-8.el7_9              updates-openlogic
vim-enhanced.x86_64             2:7.4.629-8.el7_9              updates-openlogic
vim-filesystem.x86_64           2:7.4.629-8.el7_9              updates-openlogic
vim-minimal.x86_64              2:7.4.629-8.el7_9              updates-openlogic
virt-what.x86_64                1.18-4.el7_9.1                 updates-openlogic
wpa_supplicant.x86_64           1:2.6-12.el7_9.2               updates-openlogic
xfsdump.x86_64                  3.1.7-4.el7_9                  updates-openlogic
xfsprogs.x86_64                 4.5.0-22.el7                   base-openlogic   
xz.x86_64                       5.2.2-2.el7_9                  updates-openlogic
xz-libs.x86_64                  5.2.2-2.el7_9                  updates-openlogic
yum.noarch                      3.4.3-168.el7.centos           base-openlogic   
yum-plugin-fastestmirror.noarch 1.1.31-54.el7_8                base-openlogic   
yum-utils.noarch                1.1.31-54.el7_8                base-openlogic   
zlib.x86_64                     1.2.7-21.el7_9                 updates-openlogic
Obsoleting Packages
iwl7260-firmware.noarch         25.30.13.0-82.el7_9            updates-openlogic
    iwl7265-firmware.noarch     22.0.7.0-72.el7                @os              
